Datetime;demand;price;solar_potential;wind_potential;weather
3/1/2025 14:00;300,0;1;40,5;24,999;Monsoon
3/1/2025 15:00;293,64;1;31,5;24,999;Monsoon
3/1/2025 16:00;278,36;1;22,5;218,751;Monsoon
3/1/2025 17:00;283,78999999999996;1;0,0;220,725;Monsoon
3/1/2025 18:00;292,0;1;0,0;193,749;Monsoon
3/1/2025 19:00;300,0;1;0,0;76,185;Monsoon
3/1/2025 20:00;300,0;1;0,0;24,999;Monsoon
3/1/2025 21:00;300,0;1;0,0;24,999;Monsoon
3/1/2025 22:00;300,0;1;0,0;24,999;Monsoon
3/1/2025 23:00;280,65000000000003;1;0,0;24,999;Monsoon
4/1/2025 0:00;236,04;1;0,0;24,999;Monsoon
4/1/2025 1:00;220,19;1;0,0;24,999;Monsoon
4/1/2025 2:00;211,37;1;0,0;24,999;Monsoon
4/1/2025 3:00;240,0;1;0,0;81,24900000000001;Monsoon
4/1/2025 4:00;240,79999999999998;1;0,0;193,749;Monsoon
4/1/2025 5:00;259,33;1;0,0;175,197;Monsoon
4/1/2025 6:00;272,25;1;13,5;182,106;Monsoon
4/1/2025 7:00;280,0;1;22,5;151,44600000000003;Monsoon
4/1/2025 8:00;300,0;1;40,5;144,738;Monsoon
4/1/2025 9:00;299,52;1;72,0;35,262;Monsoon
4/1/2025 10:00;300,0;1;90,0;24,999;Monsoon
4/1/2025 11:00;300,0;1;112,5;24,999;Monsoon
4/1/2025 12:00;300,0;1;67,5;24,999;Monsoon
4/1/2025 13:00;300,0;1;40,5;86,51400000000001;Monsoon
4/1/2025 14:00;300,0;1;22,5;156,249;Monsoon
4/1/2025 15:00;300,0;1;13,5;150,0;Monsoon
4/1/2025 16:00;294,69;1;9,0;270,987;Monsoon
4/1/2025 17:00;300,0;1;0,0;236,973;Monsoon
4/1/2025 18:00;300,0;1;0,0;161,51399999999998;Monsoon
4/1/2025 19:00;300,0;1;0,0;287,499;Monsoon
4/1/2025 20:00;300,0;1;0,0;234,21;Monsoon
4/1/2025 21:00;300,0;1;0,0;24,999;Monsoon
4/1/2025 22:00;299,53999999999996;1;0,0;24,999;Monsoon
4/1/2025 23:00;280,0;1;0,0;24,999;Autumn
5/1/2025 0:00;233,39;1;0,0;24,999;Autumn
5/1/2025 1:00;224,0;1;0,0;24,999;Autumn
5/1/2025 2:00;217,39;1;0,0;24,999;Autumn
5/1/2025 3:00;244,0;1;0,0;24,999;Autumn
5/1/2025 4:00;240,0;1;0,0;24,999;Autumn
5/1/2025 5:00;240,78;1;0,0;24,999;Autumn
5/1/2025 6:00;260,0;1;0,0;24,999;Autumn
5/1/2025 7:00;270,28999999999996;1;27,0;24,999;Autumn
5/1/2025 8:00;276,17;1;63,0;24,999;Autumn
5/1/2025 9:00;297,26000000000005;1;99,0;24,999;Autumn
5/1/2025 10:00;300,0;1;117,0;24,999;Autumn
5/1/2025 11:00;300,0;1;63,0;24,999;Autumn
5/1/2025 12:00;300,0;1;45,0;24,999;Autumn
5/1/2025 13:00;272,0;1;31,5;24,999;Autumn
5/1/2025 14:00;264,0;1;0,0;24,999;Autumn
5/1/2025 15:00;264,0;1;0,0;24,999;Autumn
5/1/2025 16:00;284,0;1;0,0;24,999;Autumn
5/1/2025 17:00;295,01;1;0,0;24,999;Autumn
5/1/2025 18:00;300,0;1;0,0;24,999;Autumn
5/1/2025 19:00;300,0;1;0,0;24,999;Autumn
5/1/2025 20:00;300,0;1;0,0;24,999;Autumn
5/1/2025 21:00;283,43;1;0,0;24,999;Autumn
5/1/2025 22:00;259,96000000000004;1;0,0;24,999;Autumn
5/1/2025 23:00;227,35;1;0,0;24,999;Autumn
6/1/2025 0:00;223,16;1;0,0;24,999;Autumn
6/1/2025 1:00;216,07999999999998;1;0,0;24,999;Autumn
6/1/2025 2:00;220,0;1;0,0;24,999;Autumn
6/1/2025 3:00;220,0;1;0,0;24,999;Autumn
6/1/2025 4:00;244,0;1;0,0;24,999;Autumn
6/1/2025 5:00;263,68;1;0,0;24,999;Autumn
6/1/2025 6:00;262,35999999999996;1;0,0;24,999;Autumn
6/1/2025 7:00;276,0;1;31,5;24,999;Autumn
6/1/2025 8:00;300,0;1;99,0;24,999;Autumn
6/1/2025 9:00;300,0;1;148,5;24,999;Autumn
6/1/2025 10:00;300,0;1;175,5;24,999;Autumn
6/1/2025 11:00;300,0;1;85,49999999999999;24,999;Autumn
6/1/2025 12:00;300,0;1;58,5;24,999;Autumn
6/1/2025 13:00;282,8;1;36,0;24,999;Autumn
6/1/2025 14:00;271,61999999999995;1;0,0;65,526;Autumn
6/1/2025 15:00;282,42;1;0,0;188,487;Autumn
6/1/2025 16:00;282,99;1;0,0;192,762;Autumn
6/1/2025 17:00;300,0;1;0,0;218,751;Autumn
6/1/2025 18:00;300,0;1;0,0;206,25;Autumn
6/1/2025 19:00;300,0;1;0,0;193,749;Autumn
6/1/2025 20:00;299,15999999999997;1;0,0;74,013;Autumn
6/1/2025 21:00;283,47;1;0,0;24,999;Autumn
6/1/2025 22:00;238,15;1;0,0;115,461;Autumn
6/1/2025 23:00;223,54;1;0,0;318,75;Winter
7/1/2025 0:00;220,0;1;0,0;343,749;Winter
7/1/2025 1:00;224,0;1;0,0;346,71;Winter
7/1/2025 2:00;200,0;1;0,0;343,749;Winter
7/1/2025 3:00;196,0;1;0,0;343,749;Winter
7/1/2025 4:00;218,19;1;0,0;316,512;Winter
7/1/2025 5:00;234,97;1;27,0;281,448;Winter
7/1/2025 6:00;254,52999999999997;1;72,0;278,619;Winter
7/1/2025 7:00;279,87;1;135,0;272,30400000000003;Winter
7/1/2025 8:00;300,0;1;229,5;41,25;Winter
7/1/2025 9:00;300,0;1;396,0;24,999;Winter
7/1/2025 10:00;300,0;1;423,0;43,356;Winter
7/1/2025 11:00;300,0;1;252,0;193,749;Winter
7/1/2025 12:00;300,0;1;170,99999999999997;218,751;Winter
7/1/2025 13:00;300,0;1;99,0;187,5;Winter
7/1/2025 14:00;278,11;1;40,5;144,672;Winter
7/1/2025 15:00;260,0;1;22,5;256,251;Winter
7/1/2025 16:00;289,47;1;0,0;279,276;Winter
7/1/2025 17:00;300,0;1;0,0;337,5;Winter
7/1/2025 18:00;300,0;1;0,0;143,751;Winter
7/1/2025 19:00;300,0;1;0,0;337,302;Winter
7/1/2025 20:00;299,96;1;0,0;343,749;Winter
7/1/2025 21:00;300,0;1;0,0;334,539;Winter
7/1/2025 22:00;248,88;1;0,0;190,986;Winter
7/1/2025 23:00;264,0;1;0,0;223,947;Winter
8/1/2025 0:00;244,0;1;0,0;162,501;Winter
8/1/2025 1:00;196,27;1;0,0;191,973;Winter
8/1/2025 2:00;204,0;1;0,0;136,185;Winter
8/1/2025 3:00;200,0;1;0,0;225,0;Winter
8/1/2025 4:00;224,0;1;9,0;224,802;Winter
8/1/2025 5:00;264,0;1;67,5;134,868;Winter
8/1/2025 6:00;280,0;1;121,5;24,999;Winter
8/1/2025 7:00;283,05;1;252,0;24,999;Winter
8/1/2025 8:00;300,0;1;328,5;51,645;Winter
8/1/2025 9:00;300,0;1;450,0;287,499;Winter
8/1/2025 10:00;300,0;1;436,5;239,67;Winter
8/1/2025 11:00;300,0;1;292,5;216,975;Winter
8/1/2025 12:00;300,0;1;229,5;308,883;Winter
8/1/2025 13:00;282,16999999999996;1;126,0;312,50100000000003;Winter
8/1/2025 14:00;280,28999999999996;1;49,5;342,303;Winter
8/1/2025 15:00;276,55;1;45,0;331,25100000000003;Winter
8/1/2025 16:00;300,0;1;0,0;302,304;Winter
8/1/2025 17:00;300,0;1;0,0;263,157;Winter
8/1/2025 18:00;300,0;1;0,0;253,488;Winter
8/1/2025 19:00;300,0;1;0,0;239,409;Winter
8/1/2025 20:00;290,78;1;0,0;187,5;Winter
8/1/2025 21:00;277,54;1;0,0;186,117;Winter
8/1/2025 22:00;260,0;1;0,0;156,249;Winter
